base_keyword,paraphrase
Chuyển tiền,1. Gửi tiền
Chuyển tiền,2. Chuyển khoản
Chuyển tiền,3. Thanh toán qua chuyển khoản
Combo Data - Thoại,1. Gói cước Data và Thoại
Combo Data - Thoại,2. Kết hợp Data và Thoại
Combo Data - Thoại,3. Gói dịch vụ Data - Thoại
Cước truyền hình,1. Phí truyền hình
Cước truyền hình,2. Chi phí truyền hình
Cước truyền hình,3. Giá dịch vụ truyền hình
Data 3G/4G,1. Dữ liệu di động 3G/4G
Data 3G/4G,2. Lưu lượng dữ liệu 3G/4G
Data 3G/4G,3. Dung lượng dữ liệu 3G/4G
Dealtoday,1. Ưu đãi hôm nay
Dealtoday,2. Khuyến mãi ngày hôm nay
Dealtoday,3. Giảm giá ngày nay
Di động trả sau,1. Trả tiền điện thoại sau
Di động trả sau,2. Thanh toán điện thoại sau
Di động trả sau,3. Gộp séc di động (hoặc cước điện thoại) trả sau
Dịch vụ y tế,1. Chăm sóc sức khỏe
Dịch vụ y tế,2. Phục vụ y tế
Dịch vụ y tế,3. Dịch vụ chăm sóc sức khỏe
Giao hàng,1. Vận chuyển hàng hóa đến địa điểm nhận
Giao hàng,2. Đưa hàng đến tận tay khách hàng
Giao hàng,3. Chuyển hàng đến nơi nhận
Giao hàng Ahamove,1. Sử dụng dịch vụ giao hàng của Ahamove
Giao hàng Ahamove,2. Giao hàng qua Ahamove
Giao hàng Ahamove,3. Ahamove vận chuyển hàng hóa
Gọi Taxi,1. Đặt taxi
Gọi Taxi,2. Gọi xe taxi
Gọi Taxi,3. Bật điện thoại gọi taxi
Hóa đơn truyền hình,1. Hóa đơn TV
Hóa đơn truyền hình,2. Phiếu thanh toán truyền hình
Hóa đơn truyền hình,3. Hóa đơn dịch vụ truyền hình
Học phí,1. Tiền học
Học phí,2. Phí học tập
Học phí,3. Chi phí giáo dục
Internet,1. Mạng lưới toàn cầu
Internet,2. Mạng máy tính toàn cầu
Internet,3. Mạng thông tin toàn cầu
LuckyBest,1. May mắn nhất
LuckyBest,2. Người may mắn nhất
LuckyBest,3. Best may
MiniApp Khách sạn,1. Ứng dụng nhỏ gọn về khách sạn
MiniApp Khách sạn,2. Mini ứng dụng quản lý khách sạn
MiniApp Khách sạn,3. Ứng dụng thu gọn cho dịch vụ khách sạn
MiniApp Tàu Thủy,1. Ứng dụng thu nhỏ Tàu Thủy
MiniApp Tàu Thủy,2. MiniApp về Tàu Thủy
MiniApp Tàu Thủy,3. Phiên bản thu gọn của Tàu Thủy dạng ứng dụng
Mua gói học,1. Đăng ký gói học
Mua gói học,2. Mua khóa học
Mua gói học,3. T mua chương trình học
Mua mã thẻ,"1. **Mua thẻ**: Câu này giữ nguyên nghĩa cơ bản của việc mua mã thẻ, nhưng không đề cập cụ thể đến ""mã"""
Mua mã thẻ,"2. **Sắm mã thẻ**: Câu này mang nghĩa tương tự, nhưng sử dụng từ ""sắm"" thay vì ""mua"", vẫn chỉ việc sở hữu hoặc mua mã thẻ"
Mua mã thẻ,"3. **Đặt mua mã thẻ**: Câu này cụ thể hơn về hành động mua, với từ ""đặt mua"" thể hiện việc yêu cầu hoặc đặt hàng mã thẻ"
Mua mã thẻ điện thoại,1. **Mua thẻ cào điện thoại**: Câu này có nghĩa tương đương với việc mua mã thẻ điện thoại để nạp tiền vào số điện thoại
Mua mã thẻ điện thoại,2. **Nạp thẻ điện thoại**: Câu này ám chỉ hành động mua và nạp mã thẻ vào tài khoản điện thoại
Mua mã thẻ điện thoại,3. **Mua thẻ nạp điện thoại**: Câu này cũng mang nghĩa mua mã thẻ để nạp tiền vào điện thoại
Mua xổ số,1. **Mua vé số**: Câu này thường được sử dụng phổ biến trong đời sống hàng ngày
Mua xổ số,2. **Chơi lô đề**: Câu này thường được sử dụng để chỉ việc mua xổ số và hy vọng trúng thưởng
Mua xổ số,"3. **Đặt cược xổ số**: Câu này có nghĩa tương tự như mua xổ số, nhưng mang tính chất đặt cược hơn"
Mở thẻ VNPAY,1. Tạo thẻ VNPAY
Mở thẻ VNPAY,2. Đăng ký thẻ VNPAY
Mở thẻ VNPAY,3. Phát hành thẻ VNPAY
Mở tài khoản BIDV,1. Tạo tài khoản tại ngân hàng BIDV
Mở tài khoản BIDV,2. Đăng ký tài khoản BIDV
Mở tài khoản BIDV,3. Lập tài khoản ngân hàng BIDV
Mở tài khoản Eximbank,1. Tạo tài khoản tại ngân hàng Eximbank
Mở tài khoản Eximbank,2. Đăng ký tài khoản Eximbank
Mở tài khoản Eximbank,3. Lập tài khoản ngân hàng Eximbank
Mở tài khoản VCB,1. Tạo tài khoản ngân hàng VCB
Mở tài khoản VCB,2. Đăng ký tài khoản VCB
Mở tài khoản VCB,3. Lập tài khoản ngân hàng Vietcombank
Mở tài khoản ngân hàng,1. Tạo tài khoản ngân hàng
Mở tài khoản ngân hàng,2. Khởi tạo tài khoản ngân hàng
Mở tài khoản ngân hàng,3. Lập tài khoản ngân hàng
Nạp tiền,1. Thêm tiền vào tài khoản
Nạp tiền,2. Điền tiền vào ví điện tử
Nạp tiền,3. Cấp thêm tiền vào tài khoản thanh toán
Nạp tiền VETC,1. **Thêm tiền vào tài khoản VETC**: Câu này có nghĩa là đưa tiền vào tài khoản của VETC để sử dụng dịch vụ
Nạp tiền VETC,2. **Tăng số dư tài khoản VETC**: Câu này ám chỉ việc bổ sung tiền vào tài khoản VETC để tăng số dư hiện tại
Nạp tiền VETC,3. **Cấp tiền cho tài khoản VETC**: Câu này có nghĩa là cung cấp tiền cho tài khoản VETC để có thể sử dụng các dịch vụ liên quan
Nạp tiền ePass,1. **Bổ sung tiền vào tài khoản ePass**: Câu này có nghĩa là thêm tiền vào tài khoản ePass để sử dụng dịch vụ
Nạp tiền ePass,"2. **Top-up ePass**: Câu này sử dụng từ tiếng Anh ""top-up"" để chỉ việc nạp tiền vào tài khoản ePass"
Nạp tiền ePass,3. **Cập nhật số dư ePass**: Câu này ám chỉ việc nạp tiền để tăng số dư trong tài khoản ePass
Phí chung cư,1. Phí duy trì tòa nhà chung cư
Phí chung cư,2. Chi phí quản lý chung cư
Phí chung cư,3. Phí dịch vụ chung cư
Quà của tôi,1. Món quà thuộc về tôi
Quà của tôi,2. Quà tặng của tôi
Quà của tôi,3. Quà là của tôi
Rút tiền,1. Lấy tiền mặt
Rút tiền,2. Nhận tiền
Rút tiền,3. Trả tiền mặt
Taxi,1. Xe taxi
Taxi,2. Xe ô tô chở khách theo tuyến
Taxi,3. Xe bốn bánh có tài xế riêng
Thanh toán bảo hiểm,1. Chi trả bảo hiểm
Thanh toán bảo hiểm,2. Đóng bảo hiểm
Thanh toán bảo hiểm,3. Thực hiện khoản thanh toán bảo hiểm
Thanh toán chạm,1. Thanh toán trực tiếp
Thanh toán chạm,2. Thanh toán ngay lập tức
Thanh toán chạm,3. Thanh toán tức thì
Thanh toán hóa đơn,1. **Trả tiền hóa đơn**: Câu này có nghĩa là thực hiện việc thanh toán cho một hóa đơn cụ thể
Thanh toán hóa đơn,2. **Đóng tiền hóa đơn**: Câu này cũng ám chỉ việc thực hiện thanh toán cho một hóa đơn
Thanh toán hóa đơn,3. **Chi trả hóa đơn**: Câu này mang nghĩa là sử dụng tiền để trả cho một hóa đơn
Thanh toán khoản vay,1. Trả nợ khoản vay
Thanh toán khoản vay,2. Giải quyết khoản nợ vay
Thanh toán khoản vay,3. Đ trả tiền vay
Thanh toán tài lộc 68 - amity,1. Tiến hành thanh toán tài lộc 68 - amity
Thanh toán tài lộc 68 - amity,2. Thực hiện giao dịch tài lộc 68 của amity
Thanh toán tài lộc 68 - amity,3. Hoàn tất khoản thanh toán tài lộc 68 thuộc amity
Thuê xe tự lái,1. Thuê xe lái tự do
Thuê xe tự lái,2. Cho thuê xe tự vận hành
Thuê xe tự lái,3. Thuê xe và tự lái
Thể thao - Giải trí,1. Giải trí Thể thao
Thể thao - Giải trí,2. Thể thao và Giải trí
Thể thao - Giải trí,3. Giải trí và Thể thao
Tiền điện,1. Chi phí điện
Tiền điện,2. Phí điện
Tiền điện,3. Tiềnค่า điện
Top up Data,1. Nạp thêm dữ liệu
Top up Data,2. Bổ sung dung lượng dữ liệu
Top up Data,3. Tăng dung lượng dữ liệu
Tặng quà,1. Biếu quà
Tặng quà,2. Quà tặng
Tặng quà,3. Đưa quà
Tặng quà bạn bè,1. Quà tặng cho bạn bè
Tặng quà bạn bè,2. Biếu tặng bạn thân
Tặng quà bạn bè,3. Quà biếu bạn bè
VNPAY Taxi,1. Thanh toán taxi qua VNPAY
VNPAY Taxi,2. Taxi sử dụng dịch vụ VNPAY
VNPAY Taxi,3. Dịch vụ taxi tích hợp VNPAY
VNPAY-QR,1. Thanh toán qua mã QR của VNPAY
VNPAY-QR,2. Phương thức thanh toán VNPAY bằng mã QR
VNPAY-QR,3. Hình thức thanh toán QR code của VNPAY
VNPAY-QR gần đây,"1. Mới đây, VNPAY-QR đã ra mắt"
VNPAY-QR gần đây,2. VNPAY-QR được triển khai gần đây
VNPAY-QR gần đây,"3. Gần đây, VNPAY-QR đã được phát triển"
VNPT Media,1. Truyền hình VNPT
VNPT Media,2. Phương tiện truyền thông của VNPT
VNPT Media,3. Công ty truyền thông thuộc Tập đoàn VNPT
VNSKY,1. Việt Nam Sky
VNSKY,2. Việt Nam Sky
VNSKY,3. Việ Nam Sky
Vay Nhanh,1. Vay Tiền Nhanh
Vay Nhanh,2. Vay Kapital Gấp
Vay Nhanh,3. Vay Tiền Gấp
Vay tiêu dùng,1. Vay tiền để chi tiêu cá nhân
Vay tiêu dùng,2. Vay vốn cho mục đích tiêu dùng
Vay tiêu dùng,3. Vay để đáp ứng nhu cầu chi tiêu hàng ngày
VnShop,1. Cửa hàng trực tuyến Việt Nam
VnShop,2. Gian hàng trực tuyến Việt Nam
VnShop,3. Shop trực tuyến Việt Nam
Vé tàu,1. Vé đi tàu
Vé tàu,2. Thẻ tàu
Vé tàu,3. Vé phương tiện đường sắt
Vé xem phim,1. Vé chiếu phim
Vé xem phim,2. Vé rạp chiếu phim
Vé xem phim,3. Phiếu xem phim
Ví trả sau,1. Ví điện tử trả sau
Ví trả sau,2. Thanh toán sau qua ví
Ví trả sau,3. Ví trả sau khi mua hàng
e-Gift,1. Quà tặng điện tử
e-Gift,2. Quà tặng trực tuyến
e-Gift,3. Quà tặng số hóa
e-Voucher,1. Mã giảm giá điện tử
e-Voucher,2. Phiếu giảm giá kỹ thuật số
e-Voucher,3. Voucher điện tử
ePass - Thu phí không dừng,1. ePass - Dịch vụ thu phí tự động không dừng
ePass - Thu phí không dừng,2. ePass - Hệ thống thu phí không dừng thông minh
ePass - Thu phí không dừng,3. ePass - Giải pháp thu phí không dừng tiện lợi
Điện thoại cố định 01,1. Đường dây điện thoại cố định số 1
Điện thoại cố định 01,2. Số điện thoại cố định đầu tiên
Điện thoại cố định 01,3. Điện thoại nhà số 01
Đặt hoa,1. **Đặt hàng hoa**: Câu này thường được sử dụng khi khách hàng muốn mua hoa và yêu cầu người bán hàng giao đến địa chỉ cụ thể
Đặt hoa,2. **Giao hoa**: Câu này tập trung vào hành động giao hoa đến địa chỉ của khách hàng
Đặt hoa,3. **Đặt mua hoa**: Câu này thường được sử dụng khi khách hàng muốn mua hoa từ một cửa hàng hoặc một người bán hoa
Đặt sân Golf,1. Lắp đặt sân Golf
Đặt sân Golf,2. Xây dựng sân Golf
Đặt sân Golf,3. Thiết lập sân Golf
Đặt vé máy bay,1. Mua vé máy bay
