word1,word2,label
động,tĩnh,0.0
khuyết,ưu,0.0
cõi_tục,cõi_âm,0.0
thủ_pháp,biện_pháp,1.0
kết_duyên,thành_hôn,1.0
cấp_tiến,bảo_thủ,0.0
bất_lợi,thuận_lợi,0.0
phân_ly,sum_họp,0.0
diễu_hành,tuần_hành,1.0
cao_trào,thoái_trào,0.0
thịnh,suy,0.0
cá_chuối,cá_quả,1.0
đổ_bê_tông,biếu_xén,0.0
con_đẻ,con_ruột,1.0
uỷ_nhiệm,phân_công,1.0
khêu_gợi,khơi_gợi,1.0
chọn_lựa,tuyển_chọn,1.0
có_ích,hữu_ích,1.0
cứng_rắn,nhỏ_nhắn,0.0
bội_nghĩa,biết_ơn,0.0
mục_sư,giáo_sĩ,1.0
rớ,sờ,1.0
tay_cầm,phân_đạm,0.0
liên_hệ,nguỵ_trang,0.0
mới_tinh,mới_toanh,1.0
lộn_xộn,gọn_gàng,0.0
chủ_động,thụ_động,0.0
đơn_tiết,đơn_âm,1.0
ghen_tị,ghen_ghét,1.0
vẹo,vẹo_vọ,1.0
thu_gom,tiếp_sức,0.0
thành_thị,thị_thành,1.0
ly_tâm,hướng_tâm,0.0
cống,đường_ống,1.0
nao_núng,kiên_định,0.0
bằng_hữu,bầu_bạn,1.0
bút_chì,lô,0.0
dị_bản,đĩa_bay,0.0
nguây_nguẩy,ngúng_nguẩy,1.0
biên_nhận,ứng_chiến,0.0
truy_cập,thâm_nhập,1.0
chỉ_định,hạ_bút,0.0
âm,nguy_hiểm,0.0
thăng_trầm,khô_kiệt,0.0
thay_thế,biến_đổi,1.0
dưới,trên,0.0
kháng_cự,phản_đối,1.0
vế,vai_vế,1.0
vắng_lặng,ồn_ào,0.0
xót_thương,đau_lòng,1.0
lộp_bộp,lộp_độp,1.0
sinh_vật_cảnh,đồng_dao,0.0
lặn,mọc,0.0
bồ_bịch,nhân_tình,1.0
hạ_màn,mở_màn,0.0
ngày,đêm,0.0
nhạc_nhẹ,tiểu_học,0.0
tự_do,đức_tính,0.0
hoàng_tộc,hoàng_gia,1.0
bí_hiểm,bí_mật,1.0
chung_tình,phụ_bạc,0.0
tha_thẩn,thơ_thẩn,1.0
phôi_bào,tế_bào,1.0
nấp,hiện,0.0
cất,giấu,1.0
chỉnh_hình,tiểu_học,0.0
cây_trồng,đĩa_bay,0.0
chỉnh_hình,luồng,0.0
màng_tế_bào,bảng_tổng_sắp,0.0
ngót_nghét,xấp_xỉ,1.0
biến_động,cố_định,0.0
khuyết_điểm,ưu_điểm,0.0
nhạo_báng,khiếm_nhã,1.0
hại,lợi,0.0
tinh_lọc,tinh_chế,1.0
tăm_dạng,tung_tích,1.0
bức_bối,nguỵ_trang,0.0
thừa_thế,hằn_học,0.0
quỷ_quyệt,xảo_quyệt,1.0
hoang_phí,hà_tiện,0.0
cóp_nhặt,để_dành,1.0
may,rủi,0.0
tum,chân_vịt,0.0
nhạo,vèo,0.0
ngoại_lệ,thường_lệ,0.0
phong_độ,phong_thái,1.0
biết_ơn,vô_ơn,0.0
quay,chuyển_hướng,1.0
tập_dượt,tập_luyện,1.0
phỏng,mảnh,0.0
hình_hoạ,cung_bậc,0.0
hoạ,phúc,0.0
thịnh_hành,hữu_tình,0.0
biệt_ly,sum_họp,0.0
phụ_bản,nếp_tẻ,0.0
lời_lãi,thua_lỗ,0.0
chính_nghĩa,phi_nghĩa,0.0
trần_gian,cõi_âm,0.0
vượng,suy,0.0
lắng_nghe,lắng_tai,1.0
thất_bại,thành_công,0.0
đa_ngôn,mỏng_tang,0.0
ái_mộ,hâm_mộ,1.0
tí_ti,tí_teo,1.0
dương_gian,cõi_âm,0.0
phân_tử,nếp_tẻ,0.0
định_kỳ,bất_thường,0.0
trước,sau,0.0
đánh_bóng,làm_đẹp,1.0
giải_tán,tập_hợp,0.0
nhóm,liên_kết,0.0
đầu_tiên,cuối_cùng,0.0
vượt_tuyến,hằn_học,0.0
đỡ_đần,bình_luận,0.0
hạ,tăng,0.0
tợn,hiền,0.0
bội_bạc,chung_thuỷ,0.0
thuở,thủa,1.0
xuôi,ngược,0.0
biên_nhận,móc,0.0
thi_đấu,phá_vây,0.0
hiện_trạng,tình_cảnh,1.0
vượt_tuyến,dứt_điểm,0.0
bằng,văn_bằng,1.0
bạc_đãi,trọng_đãi,0.0
phân_li,đoàn_tụ,0.0
nhốt,thả,0.0
thời_bình,thời_chiến,0.0
trẩy_hội,ví,0.0
cũ_kỹ,mới_mẻ,0.0
nhạo,hạ_bút,0.0
được,mất,0.0
dễ_dàng,khó_khăn,0.0
gạ,gạ_gẫm,1.0
vắng_tanh,lịch_bịch,0.0
nhậm_chức,nhiệm_chức,1.0
hồ_sơ,bằng_cớ,1.0
hổ_thẹn,bắt_buộc,0.0
bè_cánh,vây_cánh,1.0
sinh_vật_cảnh,không_trung,0.0
chần_chờ,dứt_khoát,0.0
tư_thế,phong_thái,1.0
mắc_kẹt,cầm_giữ,1.0
hình_hoạ,khí_quyển,0.0
thìa,muỗng,1.0
tỏ,biểu_lộ,1.0
cộc,va,1.0
hơn,thua,0.0
cựu_binh,tân_binh,0.0
tính_sổ,nuôi_dưỡng,0.0
